city,latitude,longitude,host
San Francisco,37.7621,-122.3971,151.101.61.112
San Francisco,37.7621,-122.3971,199.232.233.164
New York City,40.71427,-74.00597,199.232.161.164
San Francisco,37.7621,-122.3971,199.232.217.112
Kansas City,39.09973,-94.57857,34.102.216.165
Columbus,39.96118,-82.99879,151.101.145.164
Kansas City,39.09973,-94.57857,35.244.227.0
Kansas City,39.09973,-94.57857,34.120.0.35
San Francisco,37.7621,-122.3971,167.82.105.112
Seattle,47.60621,-122.33207,151.101.21.164
Frankfurt am Main,50.11552,8.68417,151.101.113.164
Atlanta,33.749,-84.38798,199.232.121.164
Columbus,39.96118,-82.99879,199.232.97.164
Kansas City,39.09973,-94.57857,34.98.64.121
Munich,48.13743,11.57549,199.232.189.164
Kansas City,39.09973,-94.57857,34.120.129.199
Ashburn,39.04372,-77.48749,54.162.42.27
Mumbai,19.07283,72.88261,13.127.197.126
Sofia,42.69751,23.32415,146.75.1.112
Melbourne,-37.814,144.96332,151.101.81.164
San Francisco,37.7621,-122.3971,146.75.65.164
Osaka,34.69374,135.50218,151.101.89.112
London,51.50853,-0.12574,199.232.141.112
Osaka,34.69374,135.50218,151.101.89.164
Timişoara,45.75372,21.22571,194.246.84.19
Sydney,-33.86785,151.20732,151.101.233.164
Seattle,47.60621,-122.33207,151.101.53.112
Kansas City,39.09973,-94.57857,35.190.11.89
Sofia,42.69751,23.32415,146.75.1.164
Seoul,37.566,126.9784,146.75.49.164
San Francisco,37.7621,-122.3971,199.232.197.164
Minneapolis,44.97997,-93.26384,199.232.29.164
Kansas City,39.09973,-94.57857,34.149.52.61
San Francisco,37.7621,-122.3971,151.101.241.164
Boston,42.35843,-71.05977,151.101.117.112
Ashburn,39.04372,-77.48749,54.164.136.95
Ashburn,39.04372,-77.48749,146.75.29.112
San Francisco,37.7621,-122.3971,167.82.93.164
Giza,30.00944,31.20861,197.50.150.181
Bogotá,4.60971,-74.08175,199.232.49.112
Kitchener,43.4443,-80.4891,205.210.143.37
San Francisco,37.7621,-122.3971,199.232.217.164
Kansas City,39.09973,-94.57857,35.244.138.172
Seattle,47.60621,-122.33207,151.101.21.112
Giza,30.00944,31.20861,197.50.150.180
San Francisco,37.7621,-122.3971,199.232.65.112
Ashburn,39.04372,-77.48749,3.220.196.9
Houston,29.76328,-95.36327,151.101.57.112
Paris,48.85341,2.3488,151.101.121.112
Milan,45.46427,9.18951,151.101.241.112
San Francisco,37.7621,-122.3971,151.101.45.164
Ashburn,39.04372,-77.48749,3.213.74.45
Ashburn,39.04372,-77.48749,52.73.110.185
New York City,40.71427,-74.00597,199.232.37.164
San Francisco,37.7621,-122.3971,151.101.245.112
San Francisco,37.7621,-122.3971,151.101.157.112
Ashburn,39.04372,-77.48749,34.196.83.69
San Francisco,37.7621,-122.3971,199.232.209.164
Fortaleza,-3.71722,-38.54306,146.75.5.112
Buenos Aires,-34.61315,-58.37723,151.101.217.112
Ashburn,39.04372,-77.48749,44.208.124.147
Ashburn,39.04372,-77.48749,44.208.142.191
