metro,provider,name,lat,lon
"Singapore , Singapore",Huawei Cloud,ap-southeast-3,1.36667,103.8
"Singapore , Singapore",Microsoft Azure,southeastasia,1.36667,103.8
"Singapore , Singapore",Oracle Cloud,ap-singapore-1,1.36667,103.8
"Singapore , Singapore",Tencent Cloud,ap-singapore,1.36667,103.8
"Cape Town , South Africa",Amazon Web Services,af-south-1,-33.92584,18.42322
"Cape Town , South Africa",Google Cloud,,-33.92584,18.42322
"Cape Town , South Africa",Microsoft Azure,southafricawest,-33.92584,18.42322
"Johannesburg , South Africa",Huawei Cloud,af-south-1,-26.20227,28.04363
"Johannesburg , South Africa",Microsoft Azure,southafricanorth,-26.20227,28.04363
"Johannesburg , South Africa",Oracle Cloud,af-johannesburg-1,-26.20227,28.04363
"Busan , South Korea",Microsoft Azure,koreasouth,35.10168,129.03004
"Chuncheon , South Korea",Oracle Cloud,ap-chuncheon-1,37.87472,127.73417
"Seoul , South Korea",Alibaba Cloud,ap-northeast-2,37.566,126.9784
"Seoul , South Korea",Amazon Web Services,ap-northeast-2,37.566,126.9784
"Seoul , South Korea",Google Cloud,asia-northeast3,37.566,126.9784
"Seoul , South Korea",IBM Cloud,kr-seo,37.566,126.9784
"Seoul , South Korea",Microsoft Azure,koreacentral,37.566,126.9784
"Seoul , South Korea",Oracle Cloud,ap-seoul-1,37.566,126.9784
"Seoul , South Korea",Tencent Cloud,ap-seoul,37.566,126.9784
"Madrid , Spain",Google Cloud,europe-southwest1,40.4165,-3.70256
"Madrid , Spain",Microsoft Azure,spaincentral,40.4165,-3.70256
"Madrid , Spain",Oracle Cloud,eu-madrid-1,40.4165,-3.70256
"Madrid , Spain",Oracle Cloud,,40.4165,-3.70256
"Zaragoza , Spain",Amazon Web Services,eu-south-2,41.65606,-0.87734
"Gävle , Sweden",Microsoft Azure,swedencentral,60.67452,17.14174
"Malmö , Sweden",Microsoft Azure,swedensouth,55.60587,13.00073
"Stockholm , Sweden",Amazon Web Services,eu-north-1,59.32938,18.06871
"Stockholm , Sweden",Google Cloud,,59.32938,18.06871
"Stockholm , Sweden",Oracle Cloud,eu-stockholm-1,59.32938,18.06871
"Geneva , Switzerland",Microsoft Azure,switzerlandwest,46.20222,6.14569
"Zürich , Switzerland",Amazon Web Services,eu-central-2,47.36667,8.55
"Zürich , Switzerland",Google Cloud,europe-west6,47.36667,8.55
"Zürich , Switzerland",Microsoft Azure,switzerlandnorth,47.36667,8.55
"Zürich , Switzerland",Oracle Cloud,eu-zurich-1,47.36667,8.55
"Changhua County , Taiwan",Google Cloud,asia-east1,,24.05,120.51
"Taipei , Taiwan",Microsoft Azure,taiwannorth,25.04776,121.53185
"Bangkok , Thailand",Alibaba Cloud,ap-southeast-7,13.75398,100.50144
"Bangkok , Thailand",Amazon Web Services,,13.75398,100.50144
"Bangkok , Thailand",Google Cloud,,13.75398,100.50144
"Bangkok , Thailand",Huawei Cloud,ap-southeast-2,13.75398,100.50144
"Bangkok , Thailand",Tencent Cloud,ap-bangkok,13.75398,100.50144
"Abu Dhabi , United Arab Emirates",Microsoft Azure,uaecentral,24.45118,54.39696
"Abu Dhabi , United Arab Emirates",Oracle Cloud,me-abudhabi-1,24.45118,54.39696
"Dubai , United Arab Emirates",Alibaba Cloud,me-east-1,25.07725,55.30927
"Dubai , United Arab Emirates",Amazon Web Services,me-central-1,25.07725,55.30927
"Dubai , United Arab Emirates",Microsoft Azure,uaenorth,25.07725,55.30927
"Dubai , United Arab Emirates",Oracle Cloud,me-dubai-1,25.07725,55.30927
"Cardiff , United Kingdom",Microsoft Azure,ukwest,51.48,-3.18
"Llantarnam , United Kingdom",Oracle Cloud,uk-cardiff-1,51.63323,-3.00311
"London , United Kingdom",Alibaba Cloud,eu-west-1,51.50853,-0.12574
"London , United Kingdom",Amazon Web Services,eu-west-2,51.50853,-0.12574
"London , United Kingdom",Google Cloud,europe-west2,51.50853,-0.12574
"London , United Kingdom",IBM Cloud,eu-gb,51.50853,-0.12574
"London , United Kingdom",Microsoft Azure,uksouth,51.50853,-0.12574
"London , United Kingdom",Oracle Cloud,uk-gov-london-1,51.50853,-0.12574
"London , United Kingdom",Oracle Cloud,uk-london-1,51.50853,-0.12574
"Atlanta , United States",Microsoft Azure,eastus3,33.749,-84.38798
"Austin , United States",Microsoft Azure,usgovtexas,30.26715,-97.74306
"Charleston , United States",Google Cloud,us-east1,32.77657,-79.93092
"Cheyenne , United States",Microsoft Azure,westcentralus,41.13998,-104.82025
"Chicago , United States",Microsoft Azure,northcentralus,41.85003,-87.65005
"Chicago , United States",Oracle Cloud,us-gov-chicago-1,41.85003,-87.65005
"Chicago , United States",Oracle Cloud,,41.85003,-87.65005
"Columbus , United States",Amazon Web Services,us-gov-east-1,39.96118,-82.99879
"Columbus , United States",Amazon Web Services,us-east-2,39.96118,-82.99879
"Columbus , United States",Google Cloud,us-east5,39.96118,-82.99879
"Council Bluffs , United States",Google Cloud,us-central1,41.26194,-95.86083
"Dallas , United States",Google Cloud,us-south1,32.78306,-96.80667
"Dallas , United States",IBM Cloud,us-south,32.78306,-96.80667
"Des Moines , United States",Microsoft Azure,centralus,41.60054,-93.60911
"Des Moines , United States",Microsoft Azure,usdodwest,41.60054,-93.60911
"Des Moines , United States",Microsoft Azure,,41.60054,-93.60911
"Las Vegas , United States",Google Cloud,us-west4,36.17497,-115.13722
"Los Angeles , United States",Google Cloud,us-west2,34.05223,-118.24368
"Moses Lake , United States",Microsoft Azure,westus2,47.20566,-119.45176
"Pendleton , United States",Amazon Web Services,us-gov-west-1,38.69563,-84.36027
"Pendleton , United States",Amazon Web Services,us-west-1,38.69563,-84.36027
"Phoenix , United States",Microsoft Azure,usgovarizona,33.44838,-112.07404
"Phoenix , United States",Microsoft Azure,westus3,33.44838,-112.07404
"Phoenix , United States",Oracle Cloud,us-gov-phoenix-1,33.44838,-112.07404
"Phoenix , United States",Oracle Cloud,us-luke-1,33.44838,-112.07404
"Phoenix , United States",Oracle Cloud,us-phoenix-1,33.44838,-112.07404
"Richmond , United States",Microsoft Azure,eastus,37.55376,-77.46026
"Richmond , United States",Microsoft Azure,eastus2,37.55376,-77.46026
"Richmond , United States",Microsoft Azure,usdodeast,37.55376,-77.46026
"Richmond , United States",Microsoft Azure,usseceast,37.55376,-77.46026
"Salt Lake City , United States",Google Cloud,us-west3,40.76078,-111.89105
"San Antonio , United States",Microsoft Azure,southcentralus,29.42412,-98.49363
"San Francisco , United States",Alibaba Cloud,us-west-1,37.77493,-122.41942
"San Francisco , United States",Amazon Web Services,us-west-2,37.77493,-122.41942
"San Francisco , United States",Microsoft Azure,ussecwest,37.77493,-122.41942
"San Francisco , United States",Microsoft Azure,westus,37.77493,-122.41942
"San Francisco , United States",Oracle Cloud,us-sanjose-1,37.77493,-122.41942
"San Francisco , United States",Tencent Cloud,na-siliconvalley,37.77493,-122.41942
"The Dalles , United States",Google Cloud,us-west1,45.59456,-121.17868
"Washington , United States",Alibaba Cloud,us-east-1,38.89511,-77.03637
"Washington , United States",Amazon Web Services,us-east-1,38.89511,-77.03637
"Washington , United States",Google Cloud,us-east4,38.89511,-77.03637
"Washington , United States",IBM Cloud,us-east,38.89511,-77.03637
"Washington , United States",Microsoft Azure,usgovvirginia,38.89511,-77.03637
"Washington , United States",Oracle Cloud,us-ashburn-1,38.89511,-77.03637
"Washington , United States",Oracle Cloud,us-ashburn-1,38.89511,-77.03637
"Washington , United States",Oracle Cloud,us-langley-1,38.89511,-77.03637
"Washington , United States",Tencent Cloud,na-ashburn,38.89511,-77.03637
